	movie	year	imdb	metascore	votes
572	Seabiscuit	(2003)	7.3	72	61378
573	Love Me If You Dare	(2003)	7.7	45	61374
574	High Tension	(2003)	6.8	42	60306
575	House of Sand and Fog	(2003)	7.6	71	60194
576	Open Range	(2003)	7.5	67	59303
577	Peter Pan	(2003)	6.9	64	59044
578	Timeline	(2003)	5.6	28	56040
579	Daddy Day Care	(2003)	5.5	39	55495
580	Basic	(2003)	6.5	34	54122
581	Kal Ho Naa Ho	(2003)	8.0	54	53827
582	Legally Blonde 2: Red, White & Blonde	(2003)	4.7	47	52775
583	Coffee and Cigarettes	(2003)	7.1	65	52734
584	What a Girl Wants	(2003)	5.8	41	52726
585	Jeepers Creepers II	(2003)	5.6	36	51941
586	Out of Time	(I) (2003)	6.5	63	50621
587	Duplex	(2003)	5.9	50	50242
588	A Tale of Two Sisters	(2003)	7.2	65	48180
589	Stuck on You	(2003)	5.8	62	47603
590	Secondhand Lions	(2003)	7.6	52	46931
591	Open Water	(2003)	5.7	63	46347
592	Spy Kids 3: Game Over	(2003)	4.2	57	46294
593	The Triplets of Belleville	(2003)	7.8	91	46111
594	Bulletproof Monk	(2003)	5.5	40	44775
595	American Splendor	(2003)	7.5	90	44456
596	The Blind Swordsman: Zatoichi	(2003)	7.6	75	43672
597	Gigli	(2003)	2.4	18	43551
598	National Security	(2003)	5.6	31	42595
599	Sinbad: Legend of the Seven Seas	(2003)	6.7	48	41724
600	The Cat in the Hat	(2003)	3.8	19	41526
601	A Man Apart	(2003)	6.1	36	41211
602	Under the Tuscan Sun	(2003)	6.8	52	40915
603	11:14	(2003)	7.2	65	40736
604	Honey	(2003)	5.3	37	39885
605	The Hunted	(2003)	6.0	40	39109
606	Swimming Pool	(2003)	6.8	70	38019
607	Cradle 2 the Grave	(2003)	5.8	36	37826
608	Down with Love	(2003)	6.3	52	36188
609	The Return	(2003)	8.0	82	36050
610	The Haunted Mansion	(2003)	4.9	34	36041
611	Radio	(2003)	6.9	38	34684
612	The Medallion	(2003)	5.2	38	34133
613	House of the Dead	(2003)	2.0	15	33826
614	Hollywood Homicide	(2003)	5.3	47	33214
615	Dumb and Dumberer: When Harry Met Lloyd	(2003)	3.4	19	32794
616	Evil	(2003)	7.8	61	32616
617	Bringing Down the House	(2003)	5.6	39	32119
618	Uptown Girls	(2003)	6.1	33	31744
619	Confidence	(2003)	6.7	59	31704
620	The Lizzie McGuire Movie	(2003)	5.4	56	31267
621	Shattered Glass	(2003)	7.2	73	30798
622	The Cooler	(2003)	7.0	69	30081
623	Touching the Void	(2003)	8.1	82	29985
624	The Missing	(I) (2003)	6.5	55	29880
625	Agent Cody Banks	(2003)	5.1	41	29537
626	Looney Tunes: Back in Action	(2003)	5.7	64	28288
627	Darkness Falls	(2003)	5.0	23	27841
628	Anything Else	(2003)	6.4	43	27385
629	The Human Stain	(2003)	6.3	57	27194
630	The Barbarian Invasions	(2003)	7.7	70	26306
631	Kangaroo Jack	(2003)	4.4	16	25909
632	Beyond Borders	(2003)	6.5	32	24448
633	From Justin to Kelly	(2003)	2.1	14	24142
634	Tokyo Godfathers	(2003)	7.9	73	23967
635	A Mighty Wind	(2003)	7.3	81	23699
636	Ned Kelly	(2003)	6.5	56	23484
637	View from the Top	(2003)	5.2	27	23110
638	My Life Without Me	(2003)	7.6	57	22540
639	Kontroll	(2003)	7.7	72	21955
640	The United States of Leland	(2003)	7.1	37	21357
641	Capturing the Friedmans	(2003)	7.8	90	21353
642	Calendar Girls	(2003)	6.9	60	21004
643	The Fog of War: Eleven Lessons from the Life of Robert S. McNamara	(2003)	8.2	87	20875
644	In the Cut	(2003)	5.3	46	19867
645	Wonderland	(2003)	6.6	43	19828
646	Cold Creek Manor	(2003)	4.9	37	19528
647	The Corporation	(2003)	8.1	73	19214
648	Code 46	(2003)	6.2	57	19005
649	Saints and Soldiers	(2003)	6.8	56	18867
650	Pieces of April	(2003)	7.1	70	18849
651	The Best of Youth	(2003)	8.5	89	18257
652	Veronica Guerin	(2003)	6.9	55	17459
653	Malibu's Most Wanted	(2003)	5.1	43	17091
654	The Green Butchers	(2003)	7.3	54	16804
655	Head of State	(2003)	5.4	44	16566
656	Willard	(2003)	6.2	61	16139
657	The Order	(2003)	5.2	21	15892
658	Latter Days	(2003)	7.1	45	15664
659	Carandiru	(2003)	7.6	71	15639
660	A Guy Thing	(2003)	5.6	27	15343
661	One Missed Call	(2003)	6.2	54	15327
662	Eternal Sunshine of the Spotless Mind	(2004)	8.3	89	774731
663	Kill Bill: Vol. 2	(2004)	8.0	83	578481
664	Million Dollar Baby	(2004)	8.1	86	556867
665	The Incredibles	(2004)	8.0	90	546361
666	Spider-Man 2	(2004)	7.3	83	470883
667	Harry Potter and the Prisoner of Azkaban	(2004)	7.9	82	450910
668	The Notebook	(2004)	7.9	53	447265
669	Shaun of the Dead	(2004)	7.9	76	445100
670	I, Robot	(2004)	7.1	59	440739
671	Troy	(2004)	7.2	56	429493
672	The Butterfly Effect	(2004)	7.7	30	401332
673	The Bourne Supremacy	(2004)	7.8	73	391233
674	Crash	(I) (2004)	7.8	69	389093
675	The Day After Tomorrow	(2004)	6.4	47	368068
676	Shrek 2	(2004)	7.2	75	356558
677	The Terminal	(2004)	7.3	55	345353
678	Saw	(2004)	7.6	46	336341
679	Collateral	(2004)	7.5	71	321268
680	Ocean's Twelve	(2004)	6.5	58	316090
681	The Machinist	(2004)	7.7	61	315496
682	Hotel Rwanda	(2004)	8.1	79	300564
683	Anchorman: The Legend of Ron Burgundy	(2004)	7.2	63	295452
684	The Aviator	(2004)	7.5	77	293915
685	Man on Fire	(2004)	7.7	47	293552
686	50 First Dates	(2004)	6.8	48	292158
687	Downfall	(2004)	8.2	82	288667
688	Mean Girls	(2004)	7.0	66	282836
689	National Treasure	(2004)	6.9	39	275959
690	Hellboy	(2004)	6.9	72	272045
691	Howl's Moving Castle	(2004)	8.2	80	261520
692	Meet the Fockers	(2004)	6.3	41	230029
693	Van Helsing	(2004)	6.1	35	218802
694	The Village	(2004)	6.5	44	215597
695	Dawn of the Dead	(2004)	7.3	59	212425
696	Dodgeball: A True Underdog Story	(2004)	6.7	55	204600
697	The Chronicles of Riddick	(2004)	6.7	38	198108
698	Garden State	(2004)	7.5	67	197591
699	The Passion of the Christ	(2004)	7.2	47	194594
700	Before Sunset	(2004)	8.0	90	194071
701	Finding Neverland	(2004)	7.7	67	186049
702	The Girl Next Door	(2004)	6.7	47	184440
703	Closer	(I) (2004)	7.3	65	183227
704	A Series of Unfortunate Events	(2004)	6.8	62	178057
705	EuroTrip	(2004)	6.6	45	176450
706	Napoleon Dynamite	(2004)	6.9	64	176239
707	Resident Evil: Apocalypse	(2004)	6.2	35	169153
708	Harold & Kumar Go to White Castle	(2004)	7.1	64	167141
709	Sideways	(2004)	7.5	94	163678
710	AVP: Alien vs. Predator	(2004)	5.6	29	163249
711	Secret Window	(2004)	6.6	46	162495
712	The Life Aquatic with Steve Zissou	(2004)	7.3	62	158041
713	Alexander	(2004)	5.6	39	149585
714	Blade: Trinity	(2004)	5.9	38	148662
715	King Arthur	(2004)	6.3	46	147410
716	Shark Tale	(2004)	6.0	48	147315
717	Layer Cake	(2004)	7.4	73	146335
718	Team America: World Police	(2004)	7.2	64	146184
719	The Polar Express	(2004)	6.6	61	143349
720	13 Going on 30	(2004)	6.1	57	138725
721	The Punisher	(2004)	6.5	33	137015
722	Starsky & Hutch	(2004)	6.1	55	128050
723	The Grudge	(2004)	5.9	49	126720
724	Ray	(I) (2004)	7.7	73	122204
725	Fahrenheit 9/11	(2004)	7.5	67	119408
726	Along Came Polly	(2004)	5.9	44	114662
727	White Chicks	(2004)	5.5	41	112076
728	Kung Fu Hustle	(2004)	7.8	78	110500
729	The Phantom of the Opera	(2004)	7.3	40	105632
730	House of Flying Daggers	(2004)	7.6	89	99241
731	Catwoman	(2004)	3.3	27	96393
732	The Manchurian Candidate	(2004)	6.6	76	93751
733	Super Size Me	(2004)	7.2	73	92723
734	The Ladykillers	(2004)	6.2	56	90759
735	Bridget Jones: The Edge of Reason	(2004)	6.0	44	89860
736	The Motorcycle Diaries	(2004)	7.8	75	89337
737	Primer	(2004)	6.9	68	85080
738	Cellular	(2004)	6.5	60	84717
739	Sky Captain and the World of Tomorrow	(2004)	6.1	64	76906
740	Around the World in 80 Days	(2004)	5.8	49	75858
741	Hidalgo	(2004)	6.7	54	71918
742	Taking Lives	(2004)	6.2	38	71439
743	Spanglish	(2004)	6.4	48	71088
744	A Cinderella Story	(2004)	5.9	25	71006
745	The Sea Inside	(I) (2004)	8.0	74	70487
746	Garfield	(2004)	5.0	27	67943
747	The SpongeBob SquarePants Movie	(2004)	7.0	66	66934
748	A Very Long Engagement	(2004)	7.7	76	66664
749	The Princess Diaries 2: Royal Engagement	(2004)	5.8	43	62548
750	Mysterious Skin	(2004)	7.7	73	61075
751	District B13	(2004)	7.2	70	60629
752	The Forgotten	(2004)	5.8	43	60558
753	I Heart Huckabees	(2004)	6.7	55	59372
754	Walking Tall	(2004)	6.2	44	59114
755	Jersey Girl	(2004)	6.2	43	58506
756	Wimbledon	(2004)	6.3	59	55263
757	Ella Enchanted	(2004)	6.3	53	54028
758	The Stepford Wives	(2004)	5.3	42	53744
759	Mindhunters	(2004)	6.4	33	53449
760	Friday Night Lights	(2004)	7.3	70	52104
761	Ladder 49	(2004)	6.5	47	51276
762	In Good Company	(2004)	6.5	66	50931
763	The Chorus	(2004)	7.9	56	49802
764	Night Watch	(2004)	6.5	58	49640
765	Bad Education	(2004)	7.5	81	49609
766	The Whole Ten Yards	(2004)	5.5	24	49532
767	Wicker Park	(2004)	7.0	40	48645
768	Flight of the Phoenix	(2004)	6.1	47	48446
769	Alfie	(2004)	6.2	49	46907
770	2046	(2004)	7.5	78	45274
771	Head-On	(2004)	8.0	78	45249
772	Kinsey	(2004)	7.1	79	44928
773	Dead Man's Shoes	(2004)	7.7	52	44116
774	3-Iron	(2004)	8.1	72	43095
775	Saved!	(2004)	6.8	62	42210
776	Veer-Zaara	(2004)	7.9	67	41980
777	Miracle	(2004)	7.5	68	41091
778	After the Sunset	(2004)	6.3	38	41028
779	Without a Paddle	(2004)	5.9	29	40104
780	Scooby-Doo 2: Monsters Unleashed	(2004)	5.0	34	39018
781	Shall We Dance	(2004)	6.1	47	39006
782	Taxi	(I) (2004)	4.5	27	36223
783	Tae Guk Gi: The Brotherhood of War	(2004)	8.1	64	34626
784	The Prince and Me	(2004)	5.9	47	34618
785	Christmas with the Kranks	(2004)	5.3	22	33679
786	Raising Helen	(2004)	6.0	38	33104
787	The Libertine	(2004)	6.4	44	32903
788	Seed of Chucky	(2004)	4.9	46	32903
789	Chasing Liberty	(2004)	6.1	46	32774
790	Ghost in the Shell 2: Innocence	(I) (2004)	7.6	66	32181
791	Maria Full of Grace	(2004)	7.5	87	32112
792	The Merchant of Venice	(2004)	7.1	63	32007
793	Birth	(2004)	6.1	50	31940
794	Exorcist: The Beginning	(2004)	5.1	30	30595
795	The Woodsman	(2004)	7.2	72	29582
796	Melinda and Melinda	(2004)	6.5	54	29086
797	The Edukators	(2004)	7.5	68	28947
798	The Final Cut	(2004)	6.2	43	28729
799	Mean Creek	(2004)	7.3	74	28479
800	Envy	(2004)	4.8	31	28030
801	Spartan	(2004)	6.6	60	27767
802	Superbabies: Baby Geniuses 2	(2004)	2.0	9	27618
803	Club Dread	(2004)	5.7	45	25881
804	Torque	(2004)	4.0	41	25181
805	Confessions of a Teenage Drama Queen	(2004)	4.6	33	25123
806	Anacondas: The Hunt for the Blood Orchid	(2004)	4.6	40	24780
807	Raise Your Voice	(2004)	5.9	33	24595
808	Win a Date with Tad Hamilton!	(2004)	5.6	52	24510
809	You Got Served	(2004)	3.6	37	24420
810	The Assassination of Richard Nixon	(2004)	7.0	63	24260
811	Dirty Dancing: Havana Nights	(2004)	6.0	39	24225
812	Godsend	(2004)	4.8	24	23467
813	A Love Song for Bobby Long	(2004)	7.2	48	23447
814	Millions	(2004)	6.9	74	23156
815	Vera Drake	(2004)	7.7	83	21727
816	The Perfect Score	(2004)	5.7	35	21367
817	Laws of Attraction	(2004)	5.9	38	20281
818	Dear Frankie	(2004)	7.8	63	19936
819	Soul Plane	(2004)	4.4	33	19669
820	Surviving Christmas	(2004)	5.4	19	19600
821	9 Songs	(2004)	4.8	43	19599
822	Nobody Knows	(2004)	8.1	88	19525
823	New York Minute	(I) (2004)	4.9	33	19342
824	First Daughter	(2004)	5.0	31	18999
825	Vanity Fair	(2004)	6.2	53	18613
826	Bride & Prejudice	(2004)	6.2	55	18541
